Lambda,Vulnerability-F1,CWE-Macro-F1,Accuracy,MCC,Precision,Recall,FPR,PR-AUC,ROC-AUC,Brier,ECE
0.0,0.0844 ± 0.0506,0.0206 ± 0.0045,0.9813 ± 0.0002,0.1294 ± 0.0732,0.3775 ± 0.2132,0.0479 ± 0.0294,0.0010 ± 0.0007,0.1171 ± 0.0424,0.7477 ± 0.1187,0.0453 ± 0.0623,0.0788 ± 0.1509
0.1,0.0740 ± 0.0370,0.0340 ± 0.0047,0.9813 ± 0.0001,0.1297 ± 0.0375,0.4674 ± 0.0307,0.0410 ± 0.0222,0.0009 ± 0.0005,0.1334 ± 0.0067,0.8005 ± 0.0090,0.0174 ± 0.0001,0.0112 ± 0.0006
0.2,0.0749 ± 0.0467,0.0351 ± 0.0072,0.9815 ± 0.0001,0.1350 ± 0.0504,0.5427 ± 0.1252,0.0415 ± 0.0271,0.0008 ± 0.0005,0.1328 ± 0.0088,0.8010 ± 0.0034,0.0173 ± 0.0001,0.0109 ± 0.0005
0.5,0.0543 ± 0.0248,0.0415 ± 0.0080,0.9814 ± 0.0001,0.1089 ± 0.0345,0.4560 ± 0.0411,0.0291 ± 0.0136,0.0006 ± 0.0003,0.1303 ± 0.0048,0.8041 ± 0.0021,0.0173 ± 0.0001,0.0108 ± 0.0006
1.0,0.0701 ± 0.0073,0.1011 ± 0.0306,0.9816 ± 0.0002,0.1389 ± 0.0148,0.5434 ± 0.0854,0.0375 ± 0.0041,0.0006 ± 0.0002,0.1344 ± 0.0103,0.8045 ± 0.0061,0.0173 ± 0.0001,0.0107 ± 0.0008
