Run,Encoder/loss/sampling,Mục đích,PR-AUC (95% CI),PR-AUC,F1-score,MCC,Precision,Recall,Accuracy,FPR,ROC-AUC,Calibration ECE,Brier score
E1.0a,Majority-clean,Sanity floor,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.9813,0.0000,0.5000,0.0000,0.0187
E1.0b,Lexical-logistic,Sanity floor,-,0.0893,0.1015,0.1287,0.0561,0.5333,0.8249,0.1696,0.7514,0.2452,0.1252
E1.1,CodeBERT + BCE Loss,Huggingface Baseline,"[0.0994, 0.1594]",0.0848 ± 0.0412,0.0410 ± 0.0429,0.0705 ± 0.0664,0.2472 ± 0.2096,0.0227 ± 0.0243,0.9813 ± 0.0001,0.0006 ± 0.0006,0.7390 ± 0.1098,0.0094 ± 0.0025,0.0178 ± 0.0004
E1.2,UniXCoder + BCE Loss,Encoder Baseline,"[0.1135, 0.1801]",0.1336 ± 0.0027,0.0733 ± 0.0477,0.1153 ± 0.0614,0.3647 ± 0.1886,0.0420 ± 0.0288,0.9812 ± 0.0003,0.0011 ± 0.0009,0.8036 ± 0.0111,0.0111 ± 0.0013,0.0175 ± 0.0002
E1.3,UniXCoder + Multi-task (Bin+CWE),Proposed Methodology,"[0.1157, 0.1814]",0.1464,0.0773,0.1445,0.3626 ± 0.1830,0.0469 ± 0.0267,0.9813 ± 0.0001,0.0011 ± 0.0006,0.8036 ± 0.0061,0.0111 ± 0.0009,0.0174 ± 0.0001
E1.4,UniXCoder + Hard-Mining,Ablation: Data Sampling,"[0.0912, 0.1399]",0.1025 ± 0.0066,0.1337 ± 0.0323,0.1292 ± 0.0299,0.1742 ± 0.0303,0.1304 ± 0.0797,0.9710 ± 0.0096,0.0131 ± 0.0112,0.8072 ± 0.0089,0.0271 ± 0.0094,0.0274 ± 0.0085
E1.5,UniXCoder + Shuffled CWE,Negative Control,"[0.1160, 0.1828]",0.1467,0.0820,0.1535,0.4972 ± 0.0211,0.0474 ± 0.0065,0.9814 ± 0.0001,0.0009 ± 0.0002,0.8013 ± 0.0064,0.0107 ± 0.0008,0.0173 ± 0.0001
E1.6,UniXCoder + Hierarchical CWE,Ablation: Granularity,"[0.1140, 0.1785]",0.1104 ± 0.0395,0.0384 ± 0.0375,0.0745 ± 0.0653,0.2957 ± 0.2419,0.0207 ± 0.0206,0.9815 ± 0.0000,0.0004 ± 0.0004,0.7783 ± 0.0559,0.0102 ± 0.0018,0.0175 ± 0.0004
