Run,Encoder/loss/sampling,Mục đích,PR-AUC,F1-score,MCC,Precision,Recall,Accuracy,FPR,ROC-AUC,Calibration ECE,Brier score
E1.0a,Majority-clean,Sanity floor,0.0000,0.0000,0.0000,0.0000,0.0000,0.9423,0.0000,0.5000,0.0000,0.0577
E1.0b,Lexical-logistic,Sanity floor,0.1163,0.1755,0.1151,0.1205,0.3229,0.8248,0.1444,0.6437,0.1770,0.1246
E1.1,CodeBERT + BCE Loss,Huggingface Baseline,0.1179 ± 0.0286,0.0002 ± 0.0002,0.0058 ± 0.0050,0.4333 ± 0.3887,0.0001 ± 0.0001,0.9423 ± 0.0000,0.0000 ± 0.0000,0.6668 ± 0.0652,0.0410 ± 0.0103,0.0557 ± 0.0005
E1.2,UniXCoder + BCE Loss,Encoder Baseline,0.4720 ± 0.0346,0.0043 ± 0.0031,0.0287 ± 0.0123,0.6088 ± 0.1984,0.0022 ± 0.0015,0.9423 ± 0.0000,0.0001 ± 0.0001,0.8965 ± 0.0138,0.0522 ± 0.0006,0.0530 ± 0.0005
E1.3,UniXCoder + Multi-task (Bin+CWE),Proposed Methodology,0.4488 ± 0.0808,0.0041 ± 0.0025,0.0261 ± 0.0106,0.5560 ± 0.2297,0.0021 ± 0.0013,0.9422 ± 0.0000,0.0002 ± 0.0001,0.8508 ± 0.0420,0.0517 ± 0.0011,0.0529 ± 0.0012
E1.4,UniXCoder + Hard-Mining,Ablation: Data Sampling,0.5225 ± 0.0435,0.1009 ± 0.1332,0.1251 ± 0.1230,0.3674 ± 0.1063,0.0684 ± 0.1004,0.9421 ± 0.0022,0.0043 ± 0.0039,0.8811 ± 0.0297,0.0545 ± 0.0028,0.0533 ± 0.0016
E1.5,UniXCoder + Shuffled CWE,Negative Control,0.4636 ± 0.0222,0.0050 ± 0.0010,0.0333 ± 0.0033,0.5281 ± 0.0160,0.0025 ± 0.0005,0.9423 ± 0.0000,0.0001 ± 0.0000,0.8707 ± 0.0172,0.0522 ± 0.0003,0.0528 ± 0.0002
E1.6,UniXCoder + Hierarchical CWE,Ablation: Granularity,0.3875 ± 0.1772,0.0030 ± 0.0025,0.0230 ± 0.0165,0.4743 ± 0.2446,0.0015 ± 0.0013,0.9423 ± 0.0000,0.0001 ± 0.0001,0.8150 ± 0.1069,0.0476 ± 0.0077,0.0533 ± 0.0016
