Seed,model_preparation_time,Accuracy,MCC,Precision,Recall,F1,FPR,PR-AUC,ROC-AUC,runtime,samples_per_second,steps_per_second
13,0.0013,0.9655675991432465,-0.0023998068599714664,0.0,0.0,0.0,0.00016802204449223738,0.09086272028985035,0.7672248530825426,75.516,408.046,12.752
21,0.0013,0.9657298630492633,0.0,0.0,0.0,0.0,0.0,0.13161352365408713,0.7958138039528968,76.0738,405.054,12.659
42,0.0013,0.9650159018627896,-0.005035266725859056,0.0,0.0,0.0,0.0007392969957658445,0.10679250861333174,0.7847197188634786,76.2695,404.015,12.626
87,0.0012,0.9657298630492633,0.0,0.0,0.0,0.0,0.0,0.11249369967958879,0.7831621576932711,76.2452,404.144,12.63
101,0.0012,0.9656649574868567,-0.0015176972339655868,0.0,0.0,0.0,6.720881779689495e-05,0.1065024817822812,0.7795845769510413,76.2642,404.043,12.627
AVERAGE,0.0012599999999999998,0.9655416369182838,-0.001790554163959222,0.0,0.0,0.0,0.00019490557161099537,0.10965298680382785,0.7821010221086462,76.07374000000002,405.06039999999996,12.658800000000001
